11,7,1,166,前三组选_和值,QZUHZ,ZUHZ,0,0,ssc_q3zuxuanhezhi,a:5:{s:13:"startposition";i:0;s:9:"codecount";i:3;s:5:"issum";i:0;s:8:"tagcheck";s:8:"n3_hezhi";s:8:"tagbonus";s:8:"n3_hezhi";},,YTozOntzOjQ6InR5cGUiO2E6Mjp7aToxO3M6MToiMSI7aTo1O3M6MToiMSI7fXM6NjoidHlwZV8xIjthOjI6e3M6NDoidHlwZSI7czoxOiIyIjtzOjY6ImxheW91dCI7czowOiIiO31zOjY6InR5cGVfNSI7YTo0OntpOjE7czoxOiIxIjtpOjI7czoxOiIyIjtpOjM7czoxOiIzIjtpOjQ7czoxOiI0Ijt9fQ==,0,2,a:4:{i:1;a:3:{s:5:"count";s:1:"3";s:4:"name";s:135:"一等奖：组三:所选和值与开奖号码的前三位数字和值全部相同(不含豹子号)，且号码为组三，顺序不限";s:3:"use";i:1;}i:2;a:3:{s:5:"count";s:1:"6";s:4:"name";s:135:"二等奖：组六:所选和值与开奖号码的前三位数字和值全部相同(不含豹子号)，且号码为组六，顺序不限";s:3:"use";i:1;}s:4:"type";i:0;s:6:"isdesc";i:0;},前三组选_和值,0,1,lock_cqssc_qszhuxuan,500000.00,2000.00,"1,2,3",0,NULL,1
12,0,1,165,后三组选,,,0,0,,,,NULL,0,2,a:4:{i:1;a:3:{s:5:"count";s:1:"3";s:4:"name";s:6:"组三";s:3:"use";i:1;}i:2;a:3:{s:5:"count";s:1:"6";s:4:"name";s:6:"组六";s:3:"use";i:1;}s:4:"type";i:0;s:6:"isdesc";i:0;},,0,1,,0.00,2000.00,,0,NULL,1
13,12,1,165,后三组选_组三,HZUS,ZUS,0,0,ssc_h3zusan,a:5:{s:13:"startposition";i:2;s:9:"codecount";i:3;s:5:"issum";i:0;s:8:"tagcheck";s:8:"n3_zusan";s:8:"tagbonus";s:8:"n3_zusan";},"initNumberTypeZhuShanLock,1",YToyOntzOjQ6InR5cGUiO2E6MTp7aTo1O3M6MToiMSI7fXM6NjoidHlwZV81IjthOjQ6e2k6MTtzOjE6IjEiO2k6MjtzOjE6IjIiO2k6MztzOjE6IjMiO2k6NDtzOjE6IjQiO319,0,2,a:4:{i:1;a:3:{s:5:"count";s:1:"3";s:4:"name";s:94:"一等奖:所选组三号码与开奖号码同为组三，且数字全部相同，顺序不限";s:3:"use";i:1;}i:2;a:3:{s:5:"count";s:1:"6";s:4:"name";s:6:"奖金";s:3:"use";i:0;}s:4:"type";i:0;s:6:"isdesc";i:0;},后三组选_组三,0,1,lock_cqssc_hszhuxuan,0.00,2000.00,"1,2,3",0,NULL,1
14,12,1,165,后三组选_组六,HZUL,ZUL,0,0,ssc_h3zuliu,a:5:{s:13:"startposition";i:2;s:9:"codecount";i:3;s:5:"issum";i:0;s:8:"tagcheck";s:8:"n3_zuliu";s:8:"tagbonus";s:8:"n3_zuliu";},"initNumberTypeZhuLiuLock,2",YToyOntzOjQ6InR5cGUiO2E6MTp7aTo1O3M6MToiMSI7fXM6NjoidHlwZV81IjthOjQ6e2k6MTtzOjE6IjEiO2k6MjtzOjE6IjIiO2k6MztzOjE6IjMiO2k6NDtzOjE6IjQiO319,0,2,a:4:{i:1;a:3:{s:5:"count";s:1:"3";s:4:"name";s:6:"奖金";s:3:"use";i:0;}i:2;a:3:{s:5:"count";s:1:"6";s:4:"name";s:94:"一等奖:所选组六号码与开奖号码同为组六，且数字全部相同，顺序不限";s:3:"use";i:1;}s:4:"type";i:0;s:6:"isdesc";i:0;},后三组选_组六,0,1,lock_cqssc_hszhuxuan,0.00,2000.00,"1,2,3",0,NULL,1
15,12,1,165,后三组选_混合,HHHZX,HHZX,0,0,ssc_h3hunhezuxuan,a:5:{s:13:"startposition";i:2;s:9:"codecount";i:3;s:5:"issum";i:0;s:8:"tagcheck";s:14:"n3_hunhezuxuan";s:8:"tagbonus";s:14:"n3_hunhezuxuan";},,YToyOntzOjQ6InR5cGUiO2E6MTp7aTo1O3M6MToiMSI7fXM6NjoidHlwZV81IjthOjQ6e2k6MTtzOjE6IjEiO2k6MjtzOjE6IjIiO2k6MztzOjE6IjMiO2k6NDtzOjE6IjQiO319,0,2,a:4:{i:1;a:3:{s:5:"count";s:1:"3";s:4:"name";s:127:"一等奖：组三:所选同时包含组三及组六的号码，与开奖号码为组三，且数字全部相同，顺序不限";s:3:"use";i:1;}i:2;a:3:{s:5:"count";s:1:"6";s:4:"name";s:127:"二等奖：组六:所选同时包含组三及组六的号码，与开奖号码为组六，且数字全部相同，顺序不限";s:3:"use";i:1;}s:4:"type";i:0;s:6:"isdesc";i:0;},后三组选_混合,0,1,lock_cqssc_hszhuxuan,0.00,2000.00,"1,2,3",0,NULL,1
16,12,1,165,后三组选_和值,HZUHZ,ZUHZ,0,0,ssc_h3zuxuanhezhi,a:5:{s:13:"startposition";i:2;s:9:"codecount";i:3;s:5:"issum";i:0;s:8:"tagcheck";s:8:"n3_hezhi";s:8:"tagbonus";s:8:"n3_hezhi";},,YToyOntzOjQ6InR5cGUiO2E6MTp7aTo1O3M6MToiMSI7fXM6NjoidHlwZV81IjthOjQ6e2k6MTtzOjE6IjEiO2k6MjtzOjE6IjIiO2k6MztzOjE6IjMiO2k6NDtzOjE6IjQiO319,0,2,a:4:{i:1;a:3:{s:5:"count";s:1:"3";s:4:"name";s:135:"一等奖：组三:所选和值与开奖号码的后三位数字和值全部相同(不含豹子号)，且号码为组三，顺序不限";s:3:"use";i:1;}i:2;a:3:{s:5:"count";s:1:"6";s:4:"name";s:135:"二等奖：组六:所选和值与开奖号码的后三位数字和值全部相同(不含豹子号)，且号码为组六，顺序不限";s:3:"use";i:1;}s:4:"type";i:0;s:6:"isdesc";i:0;},后三组选_和值,0,1,lock_cqssc_hszhuxuan,0.00,2000.00,"1,2,3",0,NULL,1
17,0,1,7,三星一码不定位,,,1,0,,,,NULL,0,1,a:3:{i:1;a:3:{s:5:"count";s:3:"271";s:4:"name";s:0:"";s:3:"use";i:1;}s:4:"type";i:0;s:6:"isdesc";i:0;},,0,1,,0.00,2000.00,,0,NULL,1
18,17,1,169,后三一码不定位,HBDW1,BDW1,1,0,ssc_yimabudingwei,a:5:{s:13:"startposition";i:2;s:9:"codecount";i:3;s:5:"issum";i:0;s:8:"tagcheck";s:12:"n1_budingwei";s:8:"tagbonus";s:14:"n3_1mbudingwei";},initNumberTypeBudingWeiLock,YToyOntzOjQ6InR5cGUiO2E6MTp7aTo1O3M6MToiMSI7fXM6NjoidHlwZV81IjthOjQ6e2k6MTtzOjE6IjEiO2k6MjtzOjE6IjIiO2k6MztzOjE6IjMiO2k6NDtzOjE6IjQiO319,0,1,a:3:{i:1;a:3:{s:5:"count";s:3:"271";s:4:"name";s:6:"奖金";s:3:"use";i:1;}s:4:"type";i:0;s:6:"isdesc";i:0;},后三不定位_一码,0,1,lock_cqssc_budingwei,0.00,2000.00,"1,2,3",0,NULL,1
19,0,1,7,三星二码不定位,,,0,0,,,,NULL,0,1,a:3:{i:1;a:3:{s:5:"count";s:2:"54";s:4:"name";s:0:"";s:3:"use";i:1;}s:4:"type";i:0;s:6:"isdesc";i:0;},三星二码不定位,0,1,,0.00,2000.00,,0,NULL,1
20,19,1,169,后三二码不定位,HBDW2,BDW2,0,0,ssc_ermabudingwei,a:5:{s:13:"startposition";i:2;s:9:"codecount";i:3;s:5:"issum";i:0;s:8:"tagcheck";s:12:"n2_budingwei";s:8:"tagbonus";s:14:"n3_2mbudingwei";},,YToyOntzOjQ6InR5cGUiO2E6MTp7aTo1O3M6MToiMSI7fXM6NjoidHlwZV81IjthOjQ6e2k6MTtzOjE6IjEiO2k6MjtzOjE6IjIiO2k6MztzOjE6IjMiO2k6NDtzOjE6IjQiO319,0,1,a:3:{i:1;a:3:{s:5:"count";s:2:"54";s:4:"name";s:116:"一等奖:所选号码与开奖号码的百、十、个位共三个数字当中，至少有2个相同，顺序不限";s:3:"use";i:1;}s:4:"type";i:0;s:6:"isdesc";i:0;},后三不定位_二码,0,1,lock_cqssc_budingwei,0.00,2000.00,"1,2,3",0,NULL,1
21,0,1,167,二星直选,,,0,0,,,,NULL,0,1,a:3:{i:1;a:3:{s:5:"count";s:2:"10";s:4:"name";s:0:"";s:3:"use";i:1;}s:4:"type";i:0;s:6:"isdesc";i:0;},,0,1,,0.00,2000.00,,0,NULL,1
